Email,Employment ID,First Name,Last Name,Employment Details Hire Date,Work Region,Designation,Pay Grade,Competency,Onsite/ Offshore,Allocation Status,Skills
kathrynthornton@example.net,73652,Peter,Dunlap,2022-09-28,UK/EUROPE - UK,Associate Consultant,07-Grade 7,HCM,Onsite,On Project - Partial,"Core HR,ORC,Absence"
matthew24@example.net,26247,Michael,Clarke,2021-04-09,UK/EUROPE - UK,Manager I - Delivery,05-Grade 5,AD,Offshore,On Project - Partial,"AP,AR"
carrolledward@example.org,95705,Destiny,Gonzalez,2020-02-04,CORPORATE,Consultant I,09-Grade 9,ERP Finance,Offshore,Freshers Training,SQL
storres@example.com,70874,Christopher,Munoz,2023-01-04,NA,Associate Consultant,09-Grade 9,PRGM,Offshore,On Project - Fulltime,"Core HR,Talent"
krusso@example.com,53375,Anna,Harris,2023-07-03,UK/EUROPE - UK,Consultant I,09-Grade 9,AD,Onsite,Bench,"Core HR,ORC,Absence"
barajasmercedes@example.net,38487,Vicki,Aguirre,2021-11-25,NA,Sr. Consultant II,07-Grade 7,ERP Finance,Onsite,On Project - Partial,"Core HR,ORC,Absence"
odavis@example.net,65216,Jerry,Price,2022-05-02,AMEA - KSA,Consultant II,10-Grade 9,AD,Onsite,Bench,"Core HR,ORC,Absence"
peter12@example.com,95059,Jesse,Johnson,2022-01-17,NA,Associate Consultant,10-Grade 9,HCM,Onsite,On Project - Fulltime,SQL
kevinblevins@example.com,43655,April,Schultz,2024-10-18,NA,Consultant II,04-Grade 4,ERP Finance,Offshore,On Project - Fulltime,"Core HR,Talent"
reidcindy@example.com,48455,Michael,Lawrence,2020-03-12,AMEA - KSA,Consultant I,T2-Programmer Trainee,HCM,Offshore,On Project - Fulltime,PM
ahines@example.org,75296,Hunter,Robertson,2024-02-03,AMEA - KSA,Sr. Consultant II,07-Grade 7,SCM,Offshore,Freshers Training,"Core HR,Talent"
alejandro91@example.net,14690,Allison,Green,2021-04-12,CORPORATE,Associate Consultant,07-Grade 7,SCM,Onsite,Bench,"AP,AR"
apatterson@example.com,28024,Charles,Mcdonald,2020-08-08,AMEA - KSA,Manager II - Projects,T2-Programmer Trainee,AD,Onsite,On Project - Partial,SQL
matthewkemp@example.com,40217,Nicole,Long,2024-01-31,UK/EUROPE - UK,Consultant I,T2-Programmer Trainee,ERP Finance,Onsite,Bench,"ORC,Talent"
nicholas70@example.com,86260,Anne,Craig,2022-02-15,AMEA - KSA,Consultant II,05-Grade 5,AD,Onsite,Freshers Training,PM
mmclean@example.net,77060,Luis,Rodriguez,2023-07-03,NA,Manager I - Delivery,10-Grade 9,SCM,Onsite,Freshers Training,"AP,AR"
smithstephanie@example.org,67766,Susan,Smith,2024-04-15,CORPORATE,Consultant I,10-Grade 9,AD,Offshore,On Project - Fulltime,"ORC,Talent"
christinalynch@example.com,15338,Olivia,Garcia,2022-08-11,CORPORATE,Associate Consultant,T2-Programmer Trainee,ERP Finance,Offshore,Freshers Training,"ORC,Talent"
zalvarez@example.com,75838,Kevin,Morgan,2024-08-19,AMEA - KSA,Consultant II,04-Grade 4,AD,Offshore,Bench,"AP,AR"
kmccullough@example.com,88345,Jessica,Hart,2024-06-08,UK/EUROPE - UK,Manager II - Projects,07-Grade 7,ERP Finance,Offshore,On Project - Fulltime,PM
karen92@example.org,51442,Alisha,Mack,2021-06-08,CORPORATE,Associate Consultant,10-Grade 9,SCM,Onsite,Bench,PM
michelle25@example.com,71120,Allison,Wright,2022-12-17,UK/EUROPE - UK,Associate Consultant,T2-Programmer Trainee,ERP Finance,Offshore,On Project - Fulltime,"AP,AR"
etran@example.com,12760,Patricia,Mills,2021-12-02,NA,Sr. Consultant II,07-Grade 7,HCM,Offshore,Bench,"AP,AR"
samuelmaldonado@example.com,87500,Shannon,Lane,2024-11-05,AMEA - KSA,Sr. Consultant II,04-Grade 4,ERP Finance,Offshore,Freshers Training,"Core HR,Talent"
johnnyschmidt@example.com,63652,Deborah,Lewis,2020-08-21,CORPORATE,Associate Consultant,04-Grade 4,ERP Finance,Onsite,On Project - Fulltime,"Core HR,ORC,Absence"
