Demand ID,Role Status,Region,Project Name,Project Type,Demand Received Date,Track,Location Shore,Primary Skill (Must have),Grade,Role Start Date,Role End Date,Number of FTE,Email,First Name,Last Name,Employment Details Hire Date,Work Region,Designation,Pay Grade,Competency,Onsite/ Offshore,Allocation Status,Skills,Employment ID
9113,Staffed,NA,"Robinson, Golden and Stevens",CEMS,2024-07-06,HCM,Offshore,Onboarding Journeys,T2,2025-09-01,2026-11-29,0.9,gregcollins@example.org,Patty,Collins,2021-07-03,UK/EUROPE - UK,Manager II - Projects,05-Grade 5,AD,Onsite,On Project - Partial,"Core HR,ORC,Absence",19831
2325,Staffed,NA,Reeves-Middleton,Impl,2024-12-01,HCM,Onsite,"Core HR,Talent",G8,2025-08-20,2026-02-04,0.6,jesusbailey@example.org,Joseph,Cochran,2024-07-25,UK/EUROPE - UK,Associate Consultant,10-Grade 9,HCM,Onsite,Bench,"Core HR,Talent",20268
4558,Staffed,AMEA,Gonzalez-Thomas,Impl,2024-11-22,FIN,Offshore,Onboarding Journeys,T2,2025-07-03,2026-10-06,1.0,cohencassandra@example.com,Tamara,Valdez,2024-06-01,AMEA - KSA,Associate Consultant,T2-Programmer Trainee,AD,Onsite,On Project - Fulltime,"Core HR,Talent",41036
7025,Open,NA,Russell Ltd,CEMS,2024-03-07,FIN,Onsite,Core HR & Payroll,G10,2025-01-01,2026-10-10,0.6,tylerjohnson@example.com,Randy,Palmer,2020-07-26,AMEA - KSA,Associate Consultant,04-Grade 4,AD,Offshore,On Project - Partial,"AP,AR",77301
3800,Open,NA,Fox LLC,CEMS,2023-12-26,FIN,Onsite,"Core HR,Talent",G10,2025-01-31,2026-04-15,1.0,clarknatasha@example.com,Debra,Peters,2021-04-21,AMEA - KSA,Sr. Consultant II,07-Grade 7,ERP Finance,Offshore,Bench,"Core HR,Talent",60328
3548,Open,AMEA,"Rose, Lucas and Adams",CEMS,2024-03-13,HCM,Offshore,Onboarding Journeys,G8,2025-12-06,2026-03-02,1.0,mgarcia@example.org,Donna,Watson,2022-12-05,AMEA - KSA,Manager II - Projects,07-Grade 7,PRGM,Onsite,Bench,SQL,98962
2094,Staffed,AMEA,"Good, Oliver and Beck",Impl,2024-02-27,FIN,Onsite,"Core HR,Talent",G10,2025-07-16,2026-04-22,0.8,edward72@example.net,Morgan,Ward,2022-09-15,NA,Consultant II,10-Grade 9,PRGM,Onsite,Bench,"AP,AR",99280
7848,Staffed,EUK,"Hall, Mccall and Simpson",CEMS,2024-11-09,HCM,Onsite,Core HR & Payroll,T2,2025-06-04,2026-08-11,0.8,eroth@example.com,George,Sawyer,2021-11-15,NA,Manager II - Projects,04-Grade 4,PRGM,Offshore,Bench,"Core HR,Talent",99131
9162,Staffed,EUK,"Olson, Blake and Ballard",Impl,2024-10-04,HCM,Onsite,"Core HR,Talent",G8,2025-06-10,2026-06-15,0.8,melissasanchez@example.net,Jeremy,Ross,2022-07-05,NA,Sr. Consultant II,T2-Programmer Trainee,HCM,Onsite,Freshers Training,"Core HR,Talent",74824
3395,Staffed,NA,Miller Ltd,Impl,2024-05-04,HCM,Onsite,Redwood HCM - Core HR and ORC,G8,2025-09-29,2026-01-30,0.7,matthew58@example.com,Daniel,Tate,2024-10-05,CORPORATE,Consultant II,T2-Programmer Trainee,SCM,Offshore,Bench,"Core HR,ORC,Absence",40695
1813,Staffed,AMEA,"Rivera, Navarro and Rice",CEMS,2024-11-05,HCM,Offshore,Onboarding Journeys,G6,2024-12-26,2026-03-06,0.8,meyerrobert@example.net,Patrick,Crosby,2020-07-16,NA,Sr. Consultant II,07-Grade 7,PRGM,Onsite,On Project - Fulltime,"AP,AR",20622
8498,Open,AMEA,Taylor Inc,CEMS,2024-10-31,FIN,Onsite,"Core HR,Talent",G10,2025-09-05,2026-12-01,0.6,lhooper@example.net,Richard,Huerta,2022-06-22,CORPORATE,Manager II - Projects,05-Grade 5,AD,Onsite,Freshers Training,"AP,AR",47875
9841,Staffed,EUK,"Chapman, Davidson and Reid",CEMS,2024-12-05,FIN,Offshore,Core HR & Payroll,G5,2025-07-04,2026-10-01,0.7,simmonsstephanie@example.com,Stacey,Moore,2021-12-29,UK/EUROPE - UK,Consultant II,04-Grade 4,ERP Finance,Offshore,On Project - Partial,"ORC,Talent",65142
9727,Staffed,NA,Gibson-Mason,CEMS,2024-07-19,FIN,Offshore,Core HR & Payroll,G6,2025-11-06,2026-11-02,0.9,morganrobert@example.net,Joel,Mckay,2020-07-05,NA,Associate Consultant,07-Grade 7,SCM,Onsite,On Project - Partial,"ORC,Talent",56501
1867,Open,AMEA,"Kline, Mayer and Gill",Impl,2024-10-21,FIN,Onsite,Core HR & Payroll,G6,2025-04-03,2026-06-13,0.9,cassandrathompson@example.net,Megan,Cline,2024-09-09,AMEA - KSA,Sr. Consultant II,07-Grade 7,SCM,Onsite,On Project - Fulltime,"Core HR,ORC,Absence",47743
5126,Open,EUK,Moran-Sims,Impl,2024-07-05,HCM,Offshore,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",G5,2024-12-20,2026-03-11,0.7,lbrown@example.com,Jared,Miller,2020-01-09,NA,Associate Consultant,T2-Programmer Trainee,HCM,Offshore,Freshers Training,"Core HR,Talent",21892
3362,Staffed,NA,Anderson Inc,Impl,2024-01-26,HCM,Offshore,Onboarding Journeys,G8,2025-03-04,2026-11-23,0.6,jesusbailey@example.org,Joseph,Cochran,2024-07-25,UK/EUROPE - UK,Associate Consultant,10-Grade 9,HCM,Onsite,Bench,"Core HR,Talent",20268
5383,Staffed,AMEA,Smith PLC,Impl,2024-06-30,FIN,Offshore,Redwood HCM - Core HR and ORC,G6,2025-05-02,2026-04-23,0.6,angela96@example.net,Lisa,Crosby,2021-03-19,UK/EUROPE - UK,Manager I - Delivery,T2-Programmer Trainee,AD,Offshore,On Project - Fulltime,"Core HR,Talent",89373
7146,Open,NA,"Willis, Obrien and Estrada",Impl,2024-04-10,FIN,Offshore,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",T2,2025-03-15,2026-09-16,0.6,stephanieweaver@example.com,Jennifer,Vargas,2024-10-13,UK/EUROPE - UK,Consultant II,09-Grade 9,AD,Offshore,On Project - Fulltime,"Core HR,Talent",68692
3106,Open,AMEA,"Casey, Booker and Watkins",CEMS,2024-07-12,HCM,Offshore,Onboarding Journeys,G5,2025-06-23,2026-03-30,0.9,ishaw@example.net,Anita,Anderson,2023-03-12,CORPORATE,Consultant I,10-Grade 9,ERP Finance,Onsite,On Project - Partial,"Core HR,ORC,Absence",29940
6288,Open,AMEA,"Hamilton, Davis and Allen",CEMS,2024-04-14,HCM,Onsite,Onboarding Journeys,G8,2025-03-04,2026-03-11,0.6,aaronwilliams@example.org,Gloria,Martinez,2020-10-20,NA,Consultant II,07-Grade 7,PRGM,Onsite,Freshers Training,PM,47537
5712,Staffed,NA,Jackson-Hernandez,Impl,2023-12-19,FIN,Onsite,"Core HR,Talent",T2,2025-11-11,2026-05-08,0.9,meverett@example.net,Rachel,Fisher,2021-04-08,NA,Consultant II,09-Grade 9,SCM,Onsite,Freshers Training,PM,59070
1508,Staffed,EUK,Clark-Smith,Impl,2024-11-01,FIN,Onsite,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",G5,2025-07-27,2026-02-21,0.9,michaelsosa@example.com,Lauren,Garcia,2023-04-07,CORPORATE,Associate Consultant,04-Grade 4,AD,Offshore,On Project - Fulltime,PM,97329
2786,Staffed,AMEA,Dixon Ltd,CEMS,2024-09-29,FIN,Onsite,Onboarding Journeys,G8,2024-12-23,2026-10-04,0.7,melissasanchez@example.net,Jeremy,Ross,2022-07-05,NA,Sr. Consultant II,T2-Programmer Trainee,HCM,Onsite,Freshers Training,"Core HR,Talent",74824
8984,Open,NA,Gomez-Powers,CEMS,2024-02-28,FIN,Onsite,Onboarding Journeys,G6,2025-03-20,2026-07-19,0.6,lharrison@example.org,Thomas,Nicholson,2023-03-31,NA,Manager II - Projects,07-Grade 7,PRGM,Offshore,On Project - Partial,"ORC,Talent",52425
1875,Open,NA,Ruiz-Fisher,Impl,2024-09-19,FIN,Offshore,Core HR & Payroll,G8,2025-09-28,2026-07-25,0.9,sheila20@example.org,Lisa,Hughes,2022-03-01,CORPORATE,Consultant I,10-Grade 9,HCM,Onsite,On Project - Partial,"ORC,Talent",60055
6929,Open,AMEA,"Burns, Young and Bender",Impl,2024-01-03,HCM,Offshore,"Core HR,Talent",T2,2025-01-06,2026-07-02,0.8,rmurphy@example.net,Jeffrey,Hernandez,2020-02-20,CORPORATE,Sr. Consultant II,T2-Programmer Trainee,AD,Offshore,On Project - Partial,PM,51815
6327,Staffed,NA,Everett Group,CEMS,2024-10-17,FIN,Offshore,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",G5,2025-01-15,2026-09-03,1.0,angela96@example.net,Lisa,Crosby,2021-03-19,UK/EUROPE - UK,Manager I - Delivery,T2-Programmer Trainee,AD,Offshore,On Project - Fulltime,"Core HR,Talent",89373
1058,Staffed,AMEA,Gonzalez-Flynn,CEMS,2024-06-26,HCM,Onsite,Core HR & Payroll,G5,2025-06-01,2026-09-21,1.0,karen92@example.org,Alisha,Mack,2021-06-08,CORPORATE,Associate Consultant,10-Grade 9,SCM,Onsite,Bench,PM,51442
7500,Staffed,NA,"Peck, Schmitt and Carter",Impl,2024-03-08,HCM,Onsite,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",T2,2025-06-15,2026-01-30,0.9,doylemitchell@example.com,Carl,Reyes,2024-08-02,UK/EUROPE - UK,Manager I - Delivery,05-Grade 5,PRGM,Offshore,Freshers Training,"ORC,Talent",38044
8570,Open,EUK,"Stewart, Morris and King",CEMS,2024-05-23,HCM,Offshore,Onboarding Journeys,G6,2025-05-10,2026-04-13,0.8,afields@example.org,Michael,Lyons,2023-02-05,AMEA - KSA,Consultant I,10-Grade 9,HCM,Offshore,On Project - Partial,"Core HR,ORC,Absence",71878
1765,Open,AMEA,Stone-Herring,Impl,2024-05-24,FIN,Offshore,Redwood HCM - Core HR and ORC,T2,2024-12-17,2026-11-30,0.5,campbelldavid@example.com,Christine,Gonzales,2021-06-15,UK/EUROPE - UK,Consultant I,05-Grade 5,SCM,Offshore,On Project - Partial,PM,19635
9716,Staffed,NA,"Turner, Rivas and Shea",CEMS,2024-12-14,HCM,Offshore,Redwood HCM - Core HR and ORC,G8,2025-03-18,2026-10-19,0.9,spatton@example.com,Carlos,Hill,2024-12-10,CORPORATE,Consultant II,10-Grade 9,PRGM,Offshore,Bench,"Core HR,Talent",74053
6177,Open,EUK,"Lopez, Lloyd and Rogers",Impl,2024-11-22,FIN,Onsite,"Core HR,Talent",G5,2025-12-13,2026-10-16,0.9,hayesdawn@example.org,Lisa,Dillon,2020-07-06,AMEA - KSA,Consultant I,09-Grade 9,SCM,Offshore,Freshers Training,SQL,93337
6469,Staffed,NA,"Stanley, Richardson and Turner",CEMS,2024-08-28,FIN,Offshore,Core HR & Payroll,G8,2025-12-10,2026-01-28,0.8,heather04@example.net,Angela,Collins,2023-05-01,CORPORATE,Manager I - Delivery,09-Grade 9,HCM,Offshore,Freshers Training,SQL,86593
2830,Open,AMEA,"Hall, Tran and Brown",Impl,2024-06-06,FIN,Offshore,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",G10,2025-11-14,2026-11-24,0.7,reidcindy@example.com,Michael,Lawrence,2020-03-12,AMEA - KSA,Consultant I,T2-Programmer Trainee,HCM,Offshore,On Project - Fulltime,PM,48455
4978,Staffed,NA,Woods Group,CEMS,2024-03-28,FIN,Onsite,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",T2,2025-09-19,2026-08-23,0.9,hopkinsgary@example.com,Mark,Miller,2020-12-20,AMEA - KSA,Consultant I,09-Grade 9,PRGM,Offshore,Freshers Training,"AP,AR",61201
9507,Open,NA,King-Winters,CEMS,2024-11-13,FIN,Onsite,Redwood HCM - Core HR and ORC,G5,2025-10-12,2026-03-20,0.6,nicholas70@example.com,Anne,Craig,2022-02-15,AMEA - KSA,Consultant II,05-Grade 5,AD,Onsite,Freshers Training,PM,86260
8396,Open,NA,"Cabrera, Harrison and Moore",Impl,2024-10-08,FIN,Offshore,"Core HR,Talent",G5,2025-04-28,2026-03-23,0.8,gregcollins@example.org,Patty,Collins,2021-07-03,UK/EUROPE - UK,Manager II - Projects,05-Grade 5,AD,Onsite,On Project - Partial,"Core HR,ORC,Absence",19831
1237,Open,AMEA,"Turner, Day and Barajas",CEMS,2024-03-05,FIN,Onsite,Redwood HCM - Core HR and ORC,T2,2025-07-02,2026-04-10,0.7,melissasanchez@example.net,Jeremy,Ross,2022-07-05,NA,Sr. Consultant II,T2-Programmer Trainee,HCM,Onsite,Freshers Training,"Core HR,Talent",74824
4384,Staffed,NA,"Villarreal, Savage and White",CEMS,2024-09-20,HCM,Onsite,Onboarding Journeys,G6,2025-04-27,2026-06-15,0.9,burnsrobert@example.org,Frank,Joseph,2021-10-16,CORPORATE,Consultant II,10-Grade 9,AD,Onsite,On Project - Partial,"Core HR,Talent",60261
7517,Staffed,EUK,Alvarado LLC,CEMS,2024-03-05,FIN,Offshore,"Core HR,Talent",G6,2025-10-21,2026-03-26,0.8,colinhenry@example.com,Courtney,Collins,2020-04-30,CORPORATE,Manager II - Projects,T2-Programmer Trainee,SCM,Onsite,Bench,"AP,AR",69590
8532,Open,NA,"Lewis, Hill and Peters",CEMS,2024-10-02,FIN,Onsite,"Core HR,Talent",G10,2024-12-30,2026-01-08,1.0,lbrown@example.com,Jared,Miller,2020-01-09,NA,Associate Consultant,T2-Programmer Trainee,HCM,Offshore,Freshers Training,"Core HR,Talent",21892
4754,Open,EUK,"Cobb, Gibson and Thomas",CEMS,2024-04-06,HCM,Onsite,"Core HR,Talent",T2,2025-04-22,2026-02-16,0.7,matthewgoodman@example.org,Karl,Peterson,2023-09-14,AMEA - KSA,Manager I - Delivery,07-Grade 7,ERP Finance,Onsite,Bench,SQL,55588
1305,Open,EUK,Hansen PLC,Impl,2024-05-30,HCM,Onsite,Core HR & Payroll,T2,2025-03-19,2026-03-24,0.9,mgarcia@example.org,Donna,Watson,2022-12-05,AMEA - KSA,Manager II - Projects,07-Grade 7,PRGM,Onsite,Bench,SQL,98962
1774,Open,NA,"Smith, Murray and Lopez",Impl,2024-06-24,FIN,Offshore,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",G8,2025-11-09,2026-03-29,0.6,rmurphy@example.net,Jeffrey,Hernandez,2020-02-20,CORPORATE,Sr. Consultant II,T2-Programmer Trainee,AD,Offshore,On Project - Partial,PM,51815
9615,Staffed,NA,Lewis-Hardin,Impl,2024-04-02,HCM,Onsite,"Core HR,Talent",G10,2025-10-04,2026-09-11,0.6,uthomas@example.org,Kimberly,Little,2021-10-09,UK/EUROPE - UK,Consultant II,05-Grade 5,PRGM,Offshore,On Project - Partial,PM,68098
4459,Staffed,AMEA,Miller Inc,CEMS,2024-09-24,HCM,Onsite,"Core HR,Talent",T2,2025-07-01,2026-05-23,0.7,stephenfreeman@example.net,Andrew,Sullivan,2024-11-06,AMEA - KSA,Consultant II,T2-Programmer Trainee,AD,Offshore,On Project - Fulltime,"AP,AR",77719
9434,Open,EUK,Perry Inc,Impl,2024-08-22,FIN,Offshore,"Core HR,Talent",G5,2025-01-29,2026-08-24,0.9,vincentmartin@example.org,David,Cole,2024-05-05,UK/EUROPE - UK,Consultant I,09-Grade 9,PRGM,Onsite,On Project - Fulltime,"Core HR,Talent",77105
